sweep_name,economic_split,pool_committed_split,pool_ideology_strength,pool_max_loss_pct,outcome,total_reorgs,reorg_mass,cascade_time_s,econ_lag_s,duration,scenario_id,contentiousness,sp_pools,sp_economic,z_joint,surprise
targeted_sweep8_lite_2016_retarget,0.6,0.35,0.51,0.26,contested,5,633,,,7200,sweep_0002,0.05607584830339321,0.049556251859891154,0.10936101782783735,0.21267038986040865,0.14080552062007862
targeted_sweep8_lite_2016_retarget,0.7,0.35,0.51,0.26,contested,5,633,,,7200,sweep_0003,0.05607584830339321,0.021649618880350444,0.25871882164788323,0.3341215607009138,0.17178343846827857
committed_2016_high_econ,0.78,0.2,0.51,0.26,v26_dominant,8,1126,,,13000,sweep_0000,0.09378842315369262,0.8479353020463177,0.3162055335968374,1.2540444310967713,0.309330959670537
committed_2016_mid_econ,0.55,0.2,0.51,0.26,v26_dominant,8,1126,,,13000,sweep_0000,0.09378842315369262,0.002450680063717681,0.006934331877123646,0.09928860739445758,0.0006619240492963881
committed_2016_sigmoid,0.78,0.2,0.51,0.26,v26_dominant,8,1126,,,13000,sweep_0000,0.09378842315369262,0.8479353020463177,0.3162055335968374,1.2540444310967713,0.309330959670537
committed_2016_sigmoid_midecon,0.55,0.2,0.51,0.26,v26_dominant,8,1126,,,13000,sweep_0000,0.09378842315369262,0.002450680063717681,0.006934331877123646,0.09928860739445758,0.0006619240492963881
econ_committed_2016_grid,0.35,0.2,0.51,0.26,v26_dominant,4,56,,,13000,sweep_0000,0.028678642714570858,0.0,0.0,0.02749073932658462,4.581789887764209e-05
econ_committed_2016_grid,0.35,0.3,0.51,0.26,v26_dominant,4,468,,,13000,sweep_0001,0.0434810379241517,0.05364071863275395,0.0,0.09532072040685746,0.03382132984478288
econ_committed_2016_grid,0.35,0.38,0.51,0.26,v26_dominant,4,9,,,13000,sweep_0002,0.026990019960079843,0.020667401870685803,0.0,0.04653946319961657,0.012579937015566195
econ_committed_2016_grid,0.35,0.43,0.51,0.26,v26_dominant,4,160,,,13000,sweep_0003,0.032415169660678644,0.03451374423069066,0.0,0.0655862391265519,0.005195887610803499
econ_committed_2016_grid,0.35,0.47,0.51,0.26,v26_dominant,4,20,,,13000,sweep_0004,0.027385229540918165,0.03778131764898094,0.0,0.0640322185092775,0.004411108386194672
econ_committed_2016_grid,0.35,0.52,0.51,0.26,v26_dominant,4,468,,,13000,sweep_0005,0.0434810379241517,0.044112241146918266,0.0,0.08579224292102178,0.0060054570044715296
econ_committed_2016_grid,0.35,0.58,0.51,0.26,v26_dominant,4,280,,,13000,sweep_0006,0.036726546906187624,0.06126700159294204,0.0,0.09647229137643012,0.017686586752345523
econ_committed_2016_grid,0.35,0.65,0.51,0.26,v26_dominant,4,72,,,13000,sweep_0007,0.029253493013972058,0.03676020095576521,0.0,0.06480197960070008,0.012312376124133013
econ_committed_2016_grid,0.35,0.75,0.51,0.26,v26_dominant,4,84,,,13000,sweep_0008,0.029684630738522955,0.0,0.0,0.028455058133697555,0.003983708138717658
econ_committed_2016_grid,0.5,0.2,0.51,0.26,v26_dominant,4,468,,,13000,sweep_0009,0.0434810379241517,0.002450680063717681,0.0,0.0441306818378212,0.00014710227279273583
econ_committed_2016_grid,0.5,0.3,0.51,0.26,v26_dominant,4,7,,,13000,sweep_0010,0.02691816367265469,0.049457057666835905,0.0,0.07526023908097289,0.02916035612645315
econ_committed_2016_grid,0.5,0.38,0.51,0.26,v26_dominant,4,53,,,13000,sweep_0011,0.028570858283433136,0.014648648333245749,0.0,0.0420360677876397,0.013602170934950412
econ_committed_2016_grid,0.5,0.43,0.51,0.26,v26_dominant,3,66,,,13000,sweep_0012,0.022371257485029942,0.04913613527753948,0.0,0.07058074875000332,0.010649850755833832
econ_committed_2016_grid,0.5,0.47,0.51,0.26,v26_dominant,4,54,,,13000,sweep_0013,0.02860678642714571,0.27284238042723524,0.0,0.30026423983902606,0.11376678420567542
econ_committed_2016_grid,0.5,0.52,0.51,0.26,v26_dominant,3,339,,,13000,sweep_0014,0.03217964071856287,0.46072785197892413,0.0,0.4915745738207391,0.23595579543395476
